Campaign ,,,Campaign  Status,,Ad Group,Keyword,Criterion Type,Bid strategy type,Tracking template,Custom parameter,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Final URL
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,,,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,Responsive search ad,Bay Area Towing in 15 Minutes,,Call Now — Live Dispatch 24/7,,Flatbed Tow — No Hidden Fees,,Luxury Car Towing Specialists,,Motorcycle Towing Bay Area,,EV & Tesla Towing — Flatbed,,Bay Area RV & Motorhome Towing,,Box Truck Towing — Medium Duty,,"50,000+ Tows — 4.9 Stars",,SF Bay Area Flatbed Towing,,Accident & Recovery Towing,,Private Property Towing,,CTTA Certified & Fully Insured,,Available Now — Towing Near Me,,"San Jose, Oakland & SF Towing",,Flatbed towing across 5 Bay Area counties. 15-min avg response. No hidden fees. Call now.,,"Licensed & insured. 4.9-star Google rating. 50,000+ tows. Live dispatcher answers 24/7.",,"Specialist towing for luxury cars, motorcycles, EVs & RVs. Right truck, every time.",,No jump-starts or lockouts — professional towing only. CTTA certified specialists.,,Towing,Bay-Area,https://www.heavytowpro.com/towing
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,tow truck near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,tow truck near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,tow truck near me,Broad,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,emergency towing near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,emergency tow truck,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,towing service near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,towing company near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,24 hour towing near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,24 hour towing service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,car towing service near me,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,tow truck service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,car broke down need tow,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG1: Emergency Towing — General,roadside towing,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,,,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,Responsive search ad,Bay Area Towing in 15 Minutes,,Call Now — Live Dispatch 24/7,,Flatbed Tow — No Hidden Fees,,Luxury Car Towing Specialists,,Motorcycle Towing Bay Area,,EV & Tesla Towing — Flatbed,,Bay Area RV & Motorhome Towing,,Box Truck Towing — Medium Duty,,"50,000+ Tows — 4.9 Stars",,SF Bay Area Flatbed Towing,,Accident & Recovery Towing,,Private Property Towing,,CTTA Certified & Fully Insured,,Available Now — Towing Near Me,,"San Jose, Oakland & SF Towing",,Flatbed towing across 5 Bay Area counties. 15-min avg response. No hidden fees. Call now.,,"Licensed & insured. 4.9-star Google rating. 50,000+ tows. Live dispatcher answers 24/7.",,"Specialist towing for luxury cars, motorcycles, EVs & RVs. Right truck, every time.",,No jump-starts or lockouts — professional towing only. CTTA certified specialists.,,Towing,Bay-Area,https://www.heavytowpro.com/towing
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,flatbed tow truck near me,Exact,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,flatbed towing service,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeavyTowPro - C1 Light & Medium Duty Towing,,,Paused,,AG2: Flatbed Towing,flatbed tow truck,Phrase,Maximize clicks,{lpurl}?utm_source=google&utm_medium=cpc&utm_term={keyword}&utm_campaign={_campaignname},{_campaignname}=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
