Keyword,Monthly_Search_Volume,CPC_USD,Category,Intent,Competition,Est_Monthly_Clicks,Est_Monthly_Cost
towing near me,368000,5.31,Core Towing,High,High,7360.0,39081.6
tow truck near me,450000,5.43,Core Towing,High,High,9000.0,48870.0
towing company near me,301000,5.14,Core Towing,High,High,6020.0,30942.8
towing service,110000,5.39,Core Towing,High,High,2200.0,11858.0
tow truck,165000,5.23,Core Towing,Medium,High,3300.0,17259.0
tow service near me,110000,5.35,Core Towing,High,High,2200.0,11770.0
tow truck company near me,33100,5.2,Core Towing,High,High,662.0,3442.4
tow truck service,12100,5.71,Core Towing,High,High,242.0,1381.82
tow truck service near me,27100,6.77,Core Towing,High,High,542.0,3669.34
car towing near me,22200,5.04,Core Towing,High,High,444.0,2237.76
tow company,74000,5.53,Core Towing,Medium,High,1480.0,8184.4
wrecker service near me,33100,4.72,Core Towing,High,High,662.0,3124.64
emergency towing near me,1300,5.46,Emergency Towing,Very High,High,26.0,141.96
24 hour towing near me,12100,4.57,Emergency Towing,Very High,High,242.0,1105.94
24 hour tow truck near me,2400,5.24,Emergency Towing,Very High,High,48.0,251.52
24hr towing near me,2400,4.61,Emergency Towing,Very High,High,48.0,221.28
24 hour tow truck,1600,4.76,Emergency Towing,Very High,High,32.0,152.32
emergency tow truck near me,110,4.71,Emergency Towing,Very High,Medium,2.0,9.42
emergency tow truck,320,5.2,Emergency Towing,Very High,Medium,6.0,31.2
24 hour towing service,2400,4.81,Emergency Towing,Very High,High,48.0,230.88
towing near me now,1900,5.46,Emergency Towing,Very High,High,38.0,207.48
tow truck near me now,1900,5.81,Emergency Towing,Very High,High,38.0,220.78
emergency towing service,50,6.19,Emergency Towing,Very High,Low,1.0,6.19
heavy duty towing,12100,11.67,Heavy Duty,Very High,High,242.0,2824.14
heavy duty towing near me,4400,10.37,Heavy Duty,Very High,High,88.0,912.56
heavy duty tow truck,4400,12.59,Heavy Duty,Very High,High,88.0,1107.92
heavy duty tow truck near me,880,9.4,Heavy Duty,Very High,Medium,18.0,169.2
semi truck towing,2900,10.82,Heavy Duty,Very High,High,58.0,627.56
semi towing near me,8100,8.33,Heavy Duty,Very High,High,162.0,1349.46
big rig towing near me,480,6.05,Heavy Duty,Very High,Medium,10.0,60.5
commercial towing near me,880,8.04,Heavy Duty,Very High,Medium,18.0,144.72
commercial truck towing near me,390,9.25,Heavy Duty,Very High,Medium,8.0,74.0
heavy towing near me,1900,7.91,Heavy Duty,Very High,High,38.0,300.58
heavy truck towing near me,720,6.62,Heavy Duty,Very High,Medium,14.0,92.68
big truck towing near me,720,7.97,Heavy Duty,Very High,Medium,14.0,111.58
semi roadside assistance near me,1600,8.42,Heavy Duty,Very High,Medium,32.0,269.44
semi truck roadside assistance,720,7.32,Heavy Duty,Very High,Medium,14.0,102.48
towing San Francisco,900,6.5,Local Geo,High,High,18.0,117.0
tow truck San Francisco,600,6.2,Local Geo,High,High,12.0,74.4
emergency towing San Francisco,400,6.8,Local Geo,Very High,High,8.0,54.4
heavy duty towing San Francisco,180,11.5,Local Geo,Very High,Medium,4.0,46.0
towing Oakland,700,6.0,Local Geo,High,High,14.0,84.0
towing San Mateo,400,5.8,Local Geo,High,Medium,8.0,46.4
towing Alameda,300,5.7,Local Geo,High,Medium,6.0,34.2
towing Walnut Creek,250,5.9,Local Geo,High,Medium,5.0,29.5
towing Concord,200,5.85,Local Geo,High,Medium,4.0,23.4
semi towing San Francisco,120,10.2,Local Geo,Very High,Low,2.0,20.4
commercial towing San Francisco,90,9.8,Local Geo,Very High,Low,2.0,19.6
affordable towing near me,60500,4.64,Long-Tail Core,High,Medium,1210.0,5614.4
local towing near me,1000,4.97,Long-Tail Core,High,Medium,20.0,99.4
nearest towing company,2400,6.28,Long-Tail Core,Very High,High,48.0,301.44
nearest tow truck,2400,6.5,Long-Tail Core,Very High,High,48.0,312.0
closest towing company,720,5.78,Long-Tail Core,High,Medium,14.0,80.92
flatbed towing near me,1300,4.66,Long-Tail Core,High,Medium,26.0,121.16
flatbed tow truck near me,720,5.38,Long-Tail Core,High,Medium,14.0,75.32
local towing company near me,1600,5.06,Long-Tail Core,High,Medium,32.0,161.92
tow truck service near me cheap,480,6.09,Long-Tail Core,Medium,Low,10.0,60.9
towing service near me 24 hours,320,5.2,Long-Tail Emergency,Very High,Medium,6.0,31.2
emergency towing service near me,210,5.6,Long-Tail Emergency,Very High,Medium,4.0,22.4
24/7 towing near me,180,5.4,Long-Tail Emergency,Very High,Low,4.0,21.6
fast towing near me,150,5.3,Long-Tail Emergency,Very High,Low,3.0,15.9
quick towing service near me,130,5.5,Long-Tail Emergency,Very High,Low,3.0,16.5
immediate towing near me,110,5.7,Long-Tail Emergency,Very High,Low,2.0,11.4
towing company near me open now,90,5.8,Long-Tail Emergency,Very High,Low,2.0,11.6
